Vall,lower_state_fit,middle_state_fit,higher_state_fit,transmon_fit
-1.9555592296240603,2.908698006674149,3.5356143415556818,4.4055080579799375,2.919795588037986
-1.9429582271177945,2.8336001864722418,3.5341487384863166,4.405057262868355,2.8432321651672257
-1.9303572246115288,2.7559206271274763,3.5329350107154966,4.404636375756009,2.7643388784494936
-1.9177562221052633,2.675532126502473,3.531913461012527,4.404242181025616,2.6829288285167157
-1.9051552195989976,2.5922607230205412,3.5310415108739552,4.4038718464930335,2.598785475288749
-1.8925542170927319,2.5058844549680925,3.5302880291848195,4.403522857387313,2.5116557259370436
-1.8799532145864664,2.4161278202747174,3.529629743809337,4.4031929599956205,2.421240806255408
-1.8673522120802006,2.3226518344064635,3.5290489030919145,4.402880112171852,2.3271839800542944
-1.854751209573935,2.225038723540539,3.528531709303902,4.402582438074241,2.229053675782262
-1.8421502070676694,2.122769246197034,3.528067240809267,4.402298184324584,2.126319730323369
-1.8295492045614035,2.0151890419618286,3.527646689415786,4.402025674110549,2.0183189750712716
-1.816948202055138,1.9014576232808371,3.5272628022276757,4.401763254214215,1.9042036695761007
-1.8043471995488722,1.780468325431146,3.526909452805488,4.401509226703385,1.7828610226754948
-1.7917461970426065,1.6507166122024164,3.526581283682486,4.401261750053401,1.6527811406923776
-1.779145194536341,1.5100696127753677,3.526273362584969,4.4010186785335925,1.511826220533769
-1.7665441920300753,1.3553284425417207,3.5259807675666357,4.400777268508012,1.3567924556450874
-1.7539431895238096,1.181298110158163,3.525697916253385,4.400533563949315,1.1824792723089197
-1.741342187017544,0.978456869628143,3.5254170828813542,4.400280862571162,0.979357198764852
-1.7287411845112781,0.725305905089281,3.525123738020341,4.400004683152451,0.7259128897203014
-1.7161401820050126,0.34664983059367027,3.5247722607855563,4.399656055149098,0.34690533834257253
-1.703539179498747,0.5094493140605678,3.524912547433657,4.399797617780153,0.5098451088075789
-1.6909381769924814,0.8249594470503485,3.525232641126113,4.400108726496548,0.8256753358371666
-1.6783371744862157,1.0559312307311362,3.525518891612833,4.400373755188306,1.056933370349366
-1.66573617197995,1.2468067854509959,3.525799306809132,4.400622134556935,1.24808934060756
