Frequency (GHz)	Im(Y(1,1)) : transmon_coupling qq leg	Im(Y(1,2)) : transmon_coupling qq leg	Im(Y(2,2)) : transmon_coupling qq leg
6.94	0.00482377	-1.6403e-05	0.00481962
6.95	0.00483134	-1.63986e-05	0.00482718
6.96	0.0048389	-1.63941e-05	0.00483473
6.97	0.00484647	-1.63895e-05	0.00484229
6.98	0.00485404	-1.63848e-05	0.00484985
6.99	0.00486162	-1.63799e-05	0.00485742
7	0.0048692	-1.63749e-05	0.00486499
7.01	0.00487678	-1.63697e-05	0.00487256
7.02	0.00488436	-1.63644e-05	0.00488013
7.03	0.00489195	-1.6359e-05	0.00488771
7.04	0.00489954	-1.63535e-05	0.00489528
7.05	0.00490713	-1.63478e-05	0.00490287
7.06	0.00491473	-1.63419e-05	0.00491045
7.07	0.00492232	-1.6336e-05	0.00491804
7.08	0.00492993	-1.63299e-05	0.00492563
7.09	0.00493753	-1.63236e-05	0.00493322
7.1	0.00494514	-1.63173e-05	0.00494082
7.11	0.00495275	-1.63108e-05	0.00494842
7.12	0.00496036	-1.63041e-05	0.00495602
7.13	0.00496798	-1.62974e-05	0.00496363
7.14	0.0049756	-1.62905e-05	0.00497124
7.15	0.00498322	-1.62834e-05	0.00497885
7.16	0.00499084	-1.62762e-05	0.00498646
7.17	0.00499847	-1.62689e-05	0.00499408
7.18	0.0050061	-1.62614e-05	0.0050017
7.19	0.00501374	-1.62539e-05	0.00500933
7.2	0.00502138	-1.62461e-05	0.00501695
7.21	0.00502902	-1.62383e-05	0.00502458
7.22	0.00503666	-1.62303e-05	0.00503221
7.23	0.00504431	-1.62221e-05	0.00503985
7.24	0.00505196	-1.62138e-05	0.00504749
7.25	0.00505961	-1.62054e-05	0.00505513
7.26	0.00506726	-1.61969e-05	0.00506277
7.27	0.00507492	-1.61882e-05	0.00507042
7.28	0.00508258	-1.61793e-05	0.00507807
7.29	0.00509025	-1.61704e-05	0.00508573
7.3	0.00509792	-1.61613e-05	0.00509338
7.31	0.00510559	-1.6152e-05	0.00510104
7.32	0.00511326	-1.61426e-05	0.00510871
7.33	0.00512094	-1.61331e-05	0.00511637
7.34	0.00512862	-1.61235e-05	0.00512404
7.35	0.0051363	-1.61137e-05	0.00513172
7.36	0.00514399	-1.61037e-05	0.00513939
7.37	0.00515168	-1.60937e-05	0.00514707
7.38	0.00515937	-1.60834e-05	0.00515475
7.39	0.00516707	-1.60731e-05	0.00516244
7.4	0.00517477	-1.60626e-05	0.00517012
7.41	0.00518247	-1.6052e-05	0.00517782
7.42	0.00519018	-1.60412e-05	0.00518551
7.43	0.00519789	-1.60303e-05	0.00519321
7.44	0.0052056	-1.60192e-05	0.00520091
7.45	0.00521331	-1.6008e-05	0.00520861
7.46	0.00522103	-1.59967e-05	0.00521632
7.47	0.00522876	-1.59852e-05	0.00522403
7.48	0.00523648	-1.59736e-05	0.00523174
7.49	0.00524421	-1.59618e-05	0.00523946
7.5	0.00525194	-1.59499e-05	0.00524718
7.51	0.00525967	-1.59379e-05	0.0052549
7.52	0.00526741	-1.59257e-05	0.00526263
7.53	0.00527515	-1.59134e-05	0.00527036
7.54	0.0052829	-1.59009e-05	0.00527809
7.55	0.00529065	-1.58883e-05	0.00528583
7.56	0.0052984	-1.58755e-05	0.00529357
7.57	0.00530615	-1.58626e-05	0.00530131
7.58	0.00531391	-1.58496e-05	0.00530906
7.59	0.00532167	-1.58364e-05	0.0053168
7.6	0.00532943	-1.58231e-05	0.00532456
7.61	0.0053372	-1.58096e-05	0.00533231
7.62	0.00534497	-1.5796e-05	0.00534007
7.63	0.00535274	-1.57823e-05	0.00534783
7.64	0.00536052	-1.57684e-05	0.0053556
7.65	0.0053683	-1.57543e-05	0.00536337
7.66	0.00537609	-1.57401e-05	0.00537114
7.67	0.00538387	-1.57258e-05	0.00537892
7.68	0.00539166	-1.57113e-05	0.00538669
7.69	0.00539946	-1.56967e-05	0.00539448
7.7	0.00540726	-1.56819e-05	0.00540226
7.71	0.00541506	-1.5667e-05	0.00541005
7.72	0.00542286	-1.56519e-05	0.00541784
7.73	0.00543067	-1.56367e-05	0.00542564
7.74	0.00543848	-1.56214e-05	0.00543344
7.75	0.00544629	-1.56058e-05	0.00544124
7.76	0.00545411	-1.55902e-05	0.00544905
7.77	0.00546193	-1.55744e-05	0.00545685
7.78	0.00546976	-1.55585e-05	0.00546467
7.79	0.00547759	-1.55424e-05	0.00547248
7.8	0.00548542	-1.55261e-05	0.0054803
7.81	0.00549325	-1.55097e-05	0.00548813
7.82	0.00550109	-1.54932e-05	0.00549595
7.83	0.00550893	-1.54765e-05	0.00550378
7.84	0.00551678	-1.54597e-05	0.00551161
7.85	0.00552463	-1.54427e-05	0.00551945
7.86	0.00553248	-1.54255e-05	0.00552729
7.87	0.00554033	-1.54082e-05	0.00553513
7.88	0.00554819	-1.53908e-05	0.00554298
7.89	0.00555606	-1.53732e-05	0.00555083
7.9	0.00556392	-1.53555e-05	0.00555868
7.91	0.00557179	-1.53376e-05	0.00556654
7.92	0.00557966	-1.53195e-05	0.0055744
7.93	0.00558754	-1.53013e-05	0.00558227
7.94	0.00559542	-1.5283e-05	0.00559013
7.95	0.00560331	-1.52645e-05	0.00559801
7.96	0.00561119	-1.52458e-05	0.00560588
7.97	0.00561908	-1.5227e-05	0.00561376
7.98	0.00562698	-1.52081e-05	0.00562164
7.99	0.00563488	-1.51889e-05	0.00562953
8	0.00564278	-1.51697e-05	0.00563742
