Frequency (GHz)	Im(Y(1,1)) : transmon_coupling qq leg	Im(Y(1,2)) : transmon_coupling qq leg	Im(Y(2,2)) : transmon_coupling qq leg
7.45	0.00518247	-4.60625e-05	0.00517933
7.46	0.00519015	-4.6089e-05	0.005187
7.47	0.00519783	-4.61154e-05	0.00519467
7.48	0.00520552	-4.61416e-05	0.00520235
7.49	0.00521321	-4.61677e-05	0.00521003
7.5	0.0052209	-4.61936e-05	0.00521771
7.51	0.0052286	-4.62194e-05	0.0052254
7.52	0.0052363	-4.6245e-05	0.00523309
7.53	0.005244	-4.62705e-05	0.00524078
7.54	0.0052517	-4.62958e-05	0.00524847
7.55	0.00525941	-4.63209e-05	0.00525617
7.56	0.00526713	-4.63459e-05	0.00526388
7.57	0.00527484	-4.63708e-05	0.00527158
7.58	0.00528256	-4.63955e-05	0.00527929
7.59	0.00529028	-4.642e-05	0.005287
7.6	0.00529801	-4.64444e-05	0.00529472
7.61	0.00530574	-4.64686e-05	0.00530244
7.62	0.00531347	-4.64927e-05	0.00531016
7.63	0.0053212	-4.65166e-05	0.00531789
7.64	0.00532894	-4.65404e-05	0.00532562
7.65	0.00533668	-4.6564e-05	0.00533335
7.66	0.00534443	-4.65874e-05	0.00534108
7.67	0.00535218	-4.66107e-05	0.00534882
7.68	0.00535993	-4.66338e-05	0.00535656
7.69	0.00536768	-4.66568e-05	0.00536431
7.7	0.00537544	-4.66796e-05	0.00537206
7.71	0.0053832	-4.67023e-05	0.00537981
7.72	0.00539097	-4.67248e-05	0.00538757
7.73	0.00539874	-4.67471e-05	0.00539533
7.74	0.00540651	-4.67693e-05	0.00540309
7.75	0.00541429	-4.67914e-05	0.00541085
7.76	0.00542207	-4.68132e-05	0.00541862
7.77	0.00542985	-4.68349e-05	0.0054264
7.78	0.00543764	-4.68565e-05	0.00543417
7.79	0.00544542	-4.68778e-05	0.00544195
7.8	0.00545322	-4.68991e-05	0.00544973
7.81	0.00546101	-4.69201e-05	0.00545752
7.82	0.00546881	-4.6941e-05	0.00546531
7.83	0.00547662	-4.69618e-05	0.0054731
