Frequency (GHz)	Im(Y(1,1)) : qubit_coupler_qubit_system	Im(Y(1,2)) : qubit_coupler_qubit_system	Im(Y(1,3)) : qubit_coupler_qubit_system	Im(Y(2,2)) : qubit_coupler_qubit_system	Im(Y(2,3)) : qubit_coupler_qubit_system	Im(Y(3,3)) : qubit_coupler_qubit_system
3.59	0.00241802	-1.17776e-05	-0.000181288	0.0024164	-0.000176802	0.00224125
3.6	0.00242491	-1.18041e-05	-0.000181796	0.00242328	-0.000177298	0.00224757
3.61	0.0024318	-1.18305e-05	-0.000182305	0.00243016	-0.000177794	0.0022539
3.62	0.00243869	-1.18568e-05	-0.000182813	0.00243705	-0.00017829	0.00226023
3.63	0.00244558	-1.18831e-05	-0.000183322	0.00244393	-0.000178787	0.00226656
3.64	0.00245247	-1.19094e-05	-0.000183831	0.00245082	-0.000179283	0.00227289
3.65	0.00245936	-1.19356e-05	-0.00018434	0.0024577	-0.000179779	0.00227922
3.66	0.00246626	-1.19617e-05	-0.000184848	0.00246459	-0.000180276	0.00228555
3.67	0.00247315	-1.19878e-05	-0.000185357	0.00247148	-0.000180772	0.00229188
3.68	0.00248005	-1.20138e-05	-0.000185866	0.00247838	-0.000181268	0.00229821
3.69	0.00248695	-1.20398e-05	-0.000186375	0.00248527	-0.000181765	0.00230454
3.7	0.00249385	-1.20657e-05	-0.000186884	0.00249216	-0.000182261	0.00231088
3.71	0.00250075	-1.20916e-05	-0.000187393	0.00249906	-0.000182757	0.00231721
3.72	0.00250765	-1.21174e-05	-0.000187902	0.00250595	-0.000183254	0.00232355
3.73	0.00251455	-1.21431e-05	-0.000188411	0.00251285	-0.00018375	0.00232988
3.74	0.00252146	-1.21688e-05	-0.00018892	0.00251975	-0.000184247	0.00233622
3.75	0.00252836	-1.21944e-05	-0.000189429	0.00252665	-0.000184743	0.00234256
3.76	0.00253527	-1.222e-05	-0.000189938	0.00253355	-0.00018524	0.0023489
3.77	0.00254218	-1.22455e-05	-0.000190447	0.00254046	-0.000185736	0.00235523
3.78	0.00254909	-1.2271e-05	-0.000190956	0.00254736	-0.000186233	0.00236157
3.79	0.002556	-1.22964e-05	-0.000191466	0.00255427	-0.000186729	0.00236791
3.8	0.00256292	-1.23217e-05	-0.000191975	0.00256118	-0.000187226	0.00237426
3.81	0.00256983	-1.2347e-05	-0.000192484	0.00256808	-0.000187722	0.0023806
3.82	0.00257675	-1.23722e-05	-0.000192993	0.00257499	-0.000188219	0.00238694
3.83	0.00258366	-1.23974e-05	-0.000193503	0.00258191	-0.000188715	0.00239328
3.84	0.00259058	-1.24225e-05	-0.000194012	0.00258882	-0.000189212	0.00239963
3.85	0.0025975	-1.24476e-05	-0.000194521	0.00259573	-0.000189709	0.00240597
3.86	0.00260442	-1.24725e-05	-0.000195031	0.00260265	-0.000190205	0.00241232
3.87	0.00261134	-1.24975e-05	-0.00019554	0.00260956	-0.000190702	0.00241867
3.88	0.00261827	-1.25224e-05	-0.00019605	0.00261648	-0.000191199	0.00242501
3.89	0.00262519	-1.25472e-05	-0.000196559	0.0026234	-0.000191696	0.00243136
3.9	0.00263212	-1.25719e-05	-0.000197069	0.00263032	-0.000192192	0.00243771
3.91	0.00263905	-1.25966e-05	-0.000197578	0.00263725	-0.000192689	0.00244406
3.92	0.00264598	-1.26213e-05	-0.000198088	0.00264417	-0.000193186	0.00245041
3.93	0.00265291	-1.26459e-05	-0.000198598	0.00265109	-0.000193683	0.00245676
3.94	0.00265984	-1.26704e-05	-0.000199107	0.00265802	-0.00019418	0.00246311
3.95	0.00266677	-1.26948e-05	-0.000199617	0.00266495	-0.000194676	0.00246946
3.96	0.00267371	-1.27192e-05	-0.000200127	0.00267188	-0.000195173	0.00247582
3.97	0.00268064	-1.27436e-05	-0.000200637	0.00267881	-0.00019567	0.00248217
3.98	0.00268758	-1.27679e-05	-0.000201146	0.00268574	-0.000196167	0.00248853
3.99	0.00269452	-1.27921e-05	-0.000201656	0.00269267	-0.000196664	0.00249488
4	0.00270146	-1.28162e-05	-0.000202166	0.00269961	-0.000197161	0.00250124
4.01	0.0027084	-1.28403e-05	-0.000202676	0.00270654	-0.000197658	0.0025076
4.02	0.00271535	-1.28644e-05	-0.000203186	0.00271348	-0.000198155	0.00251395
4.03	0.00272229	-1.28884e-05	-0.000203696	0.00272042	-0.000198652	0.00252031
